country,PobUnemp2019,mensualsalary2019,Porcentpobreza2019,PBIpercapita2019,Infla2019,hdi_2019,GINI2019,CPI2019,caldemo2019,protestnumber
Slovenia,4.44999980926514,662862979.137277,0,25942.9547741436,1.63052260754338,0.921,24.2,60,0.806,1
Sweden,6.82999992370605,3184903850.28114,0.3,51939.4297445291,1.78415097403832,0.947,28.8,85,0.908,3
Eswatini,22.8369998931885,118702081.809135,36.1,3889.85122575483,2.59801620311075,0.615,54.6,34,0.137,4
Chad,1.12300002574921,0,30.9,709.54004317463,-0.971939175419353,0.403,43.3,20,0.268,1
Togo,3.71900010108948,507962802.03796,28.1,893.352454121675,0.685897590895539,0.535,43.1,29,0.373,1
Thailand,0.720000028610229,8162162551.48331,0.1,7814.38443127242,0.70672860131428,0.804,36.4,36,0.2,4
Tajikistan,7.06099987030029,2321884645.342,6.1,890.544402355733,6.00458082322154,0.676,34,25,0.168,1
Timor Leste,4.50500011444092,100384635.644561,8,1583.71357646622,0.958812739703201,0.614,28.7,38,0.684,1
Tunisia,15.1300001144409,2049663194.48389,0.1,3571.94504797154,6.72007532863804,0.745,32.8,43,0.73,4
Turkey,13.6700000762939,8.1e+08,0.4,9121.51516673708,15.1768215720023,0.842,41.9,39,0.289,1
Tanzania,2.22199988365173,433499813.406953,44.9,1085.88488769531,3.46428057999023,0.548,40.5,37,0.377,1
Uganda,1.92499995231628,1424508662.67091,42.2,798.585734133959,2.86909425020554,0.525,42.8,28,0.3,5
Ukraine,8.1899995803833,1.5788e+10,0,3661.45629882813,7.8867174561113,0.786,26.1,30,0.489,1
Uruguay,8.88000011444092,112271708.009377,0.1,17688.01500769,7.88198870879622,0.821,39.7,71,0.89,1
Venezuela,5.09600019454956,2.79e+08,14.4,16055.6453173826,254.948534781815,0.721,39,16,0.209,13
Vietnam,2.03999996185303,1.7e+10,1.2,3425.08925344793,2.79582367452244,0.703,35.7,37,0.216,1
South Africa,28.4699993133545,890059293.728208,20.5,6624.76186493309,4.12024587014984,0.736,63,44,0.717,4
Zambia,12.5200004577637,98259120.8108228,61.4,1305.00103080403,9.15031644316299,0.575,57.1,34,0.338,1
Zimbabwe,4.83300018310547,1417011952.8873,39.8,1316.74065692871,255.304990757856,0.601,44.3,24,0.288,10
